asset,family,value_kind,index,value
O1200,v_b,head_singular,195,0.0056508856792100715
O1200,v_b,head_singular,196,0.005580568744234473
O1200,v_b,head_singular,197,0.005329023239223137
O1200,v_b,head_singular,198,0.005191837783769957
O1200,v_b,head_singular,199,0.004993501062742527
O1200,v_b,head_singular,200,0.0048911109071369625
O1200,v_b,head_singular,201,0.004742060190321414
O1200,v_b,head_singular,202,0.004628459589119712
O1200,v_b,head_singular,203,0.004497142260595938
O1200,v_b,head_singular,204,0.004296944067721406
O1200,v_b,head_singular,205,0.004167353234009305
O1200,v_b,head_singular,206,0.003958226607777633
O1200,v_b,head_singular,207,0.0037605622228735064
O1200,v_b,head_singular,208,0.003390810497470496
O1200,v_b,head_singular,209,0.003306869341325492
O1200,v_b,head_singular,210,0.00301730319744882
O1200,v_b,head_singular,211,0.002760816549078139
O1200,v_b,head_singular,212,0.002618601343258157
O1200,v_b,head_singular,213,0.0025087503670141076
O1200,v_b,head_singular,214,0.0023527051120445113
O1200,v_b,head_singular,215,0.0021682655464973833
N1000,q_b,head_singular,0,2.5511686912968994
N1000,q_b,head_singular,1,1.6057605381188518
N1000,q_b,head_singular,2,1.461971109984913
N1000,q_b,head_singular,3,1.2470279143291574
N1000,q_b,head_singular,4,1.1681869856433358
N1000,q_b,head_singular,5,1.0543750817897226
N1000,q_b,head_singular,6,1.013500081499724
N1000,q_b,head_singular,7,0.9623781640315914
N1000,q_b,head_singular,8,0.717656045153209
N1000,q_b,head_singular,9,0.654250608236058
N1000,q_b,head_singular,10,0.6323551342014935
N1000,q_b,head_singular,11,0.5751604105326328
N1000,q_b,head_singular,12,0.5459209947525486
N1000,q_b,head_singular,13,0.4801954569339822
N1000,q_b,head_singular,14,0.4649384972500976
N1000,q_b,head_singular,15,0.44266072676858614
N1000,q_b,head_singular,16,0.4376871411764535
N1000,q_b,head_singular,17,0.41783228469804823
N1000,q_b,head_singular,18,0.40382222008445096
N1000,q_b,head_singular,19,0.40191251272668976
N1000,q_b,head_singular,20,0.3866517851391002
N1000,q_b,head_singular,21,0.3696129264125483
N1000,q_b,head_singular,22,0.3677793186334951
N1000,q_b,head_singular,23,0.3519811729986271
N1000,q_b,head_singular,24,0.33675652080379787
N1000,q_b,head_singular,25,0.3234580567609285
N1000,q_b,head_singular,26,0.31611928763753916
N1000,q_b,head_singular,27,0.310931143673645
N1000,q_b,head_singular,28,0.30008104902764604
N1000,q_b,head_singular,29,0.2903050630442893
N1000,q_b,head_singular,30,0.2795953972231588
N1000,q_b,head_singular,31,0.2710165514142436
N1000,q_b,head_singular,32,0.2669067240434831
N1000,q_b,head_singular,33,0.261656911644009
